Popular,Name,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross,Certification
1,Spider-Man: Across the Spider-Verse,hameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Velez,"1,25,082",Animation,Action,Adventure,,U
84,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"27,25,569",Action,Crime,Drama,534.86,UA
324,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"18,91,064",Action,Adventure,Drama,377.85,U
80,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"24,19,065",Action,Adventure,Sci-Fi,292.58,UA
170,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"19,19,680",Action,Adventure,Drama,315.54,U
663,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"17,06,765",Action,Adventure,Drama,342.55,UA
221,The Matrix,Keanu Reeve,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"19,62,291",Action,Sci-Fi,,171.48,A
695,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"13,24,064",Action,Adventure,Fantasy,290.48,UA
,Soorarai Pottru,uriy,Aparna Balamurali,Paresh Rawal,Urvashi,"1,19,651",Action,Drama,,,U
198,Terminator 2: Judgment Day,Arnold Schwarzenegge,Linda Hamilton,Edward Furlong,Robert Patrick,"11,25,642",Action,Sci-Fi,,204.84,A
316,Star Wars,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"13,96,373",Action,Adventure,Fantasy,322.74,U
"1,391",Shichinin no samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"3,53,468",Action,Drama,,0.27,U
"2,704",Seppuku,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"61,282",Action,Drama,Mystery,,
,Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"60,456",Action,Drama,Mystery,,U
183,Léon,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"11,92,010",Action,Crime,Drama,19.5,A
218,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"15,39,342",Action,Adventure,Drama,187.71,UA
5,Spider-Man: Into the Spider-Verse,hameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,"5,88,262",Animation,Action,Adventure,190.24,U
42,Raiders of the Lost Ark,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,"9,90,151",Action,Adventure,,248.16,A
